"mdbf1" "mdbf2" "mdbf3" "mdbf4" "mdbf5" "mdbf6" "mdbf7" "mdbf8" "mdbf9" "mdbf10" "mdbf11" "mdbf12" "lz" "extra" "vertr" "gewis" "neuro" "intel" "pro" "grund" "fach" "ziel" "lerntyp" "geschl" "job" "ort" "ort12" "wohnen" "uni1" "uni2" "uni3" "uni4"
"37" 1 2 4 2 3 1 5 3 4 3 4 5 4.2 2.5 2.25 2 2.25 3 2.4 NA 2 1 1 2 2 2 2 4 0 0 0 1
"38" 2 3 3 4 1 3 3 4 2 4 2 5 4.6 3.25 3 2.5 2.25 2 2.6 NA 3 4 1 2 2 1 3 2 0 0 1 0
"39" 1 1 4 4 1 5 4 2 4 4 2 3 3 3.75 3.5 1.25 2 4 2.8 NA 3 1 2 3 1 2 1 3 1 0 0 0
"40" 2 2 2 3 1 2 1 4 5 3 3 2 4.6 3.5 3 2.75 3 2.75 2.1 NA 4 1 3 3 1 1 1 1 0 0 1 0
"41" 3 4 5 5 4 4 4 2 4 5 4 3 2 1.75 2 3.5 2 3.75 2.1 NA 1 3 2 2 1 2 3 1 0 0 1 0
"42" 5 3 5 2 2 5 1 2 2 4 2 3 3.8 2.25 1.75 2.75 4 3.5 2.2 NA 2 3 2 3 1 2 3 1 1 0 0 0
"43" 1 3 1 2 5 4 3 3 1 5 3 1 4.6 2.75 2.25 4 1.75 3.25 2.4 NA 5 4 1 2 2 1 2 4 0 1 0 0
"44" 2 4 5 5 2 1 1 1 1 1 5 2 5 4.75 2.75 3 3.5 3 2.5 NA 3 3 3 1 1 1 2 3 0 1 0 0
"45" 3 4 3 5 1 5 2 2 4 3 1 3 3.2 3.75 1.75 2.75 2.75 2.5 2.2 NA 1 2 1 3 1 2 3 1 0 1 0 0
"46" 5 4 3 1 5 3 4 2 1 3 4 2 3.4 3 4.25 2.5 3.75 3.5 2.9 NA 2 2 2 3 2 1 3 3 1 0 0 0
"47" 1 3 5 3 3 5 4 4 5 1 2 3 2.4 3.5 3.25 3.75 3.25 3.5 2.6 NA 3 4 3 2 1 2 3 3 0 1 0 0
"48" 4 2 4 5 1 1 3 3 1 4 3 2 4 3.25 3 2.5 4.25 3.75 2.6 NA 3 2 1 1 1 1 1 4 0 0 0 1
"49" 5 3 5 1 1 1 4 4 5 3 1 3 4.4 3 2.75 3 3.5 2.75 2.9 NA 2 1 1 2 1 1 2 2 0 0 1 0
"50" 5 2 5 5 2 5 2 1 4 3 1 2 3.2 4.5 3 3 3.25 2.75 2.2 NA 2 3 2 2 1 1 2 4 1 0 0 0
"51" 3 3 3 1 3 3 1 2 3 1 5 2 4.8 3.25 3.25 2 2.75 3.75 1.7 NA 5 1 2 3 2 1 1 3 1 0 0 0
"52" 3 5 1 5 1 3 1 3 5 4 3 1 4.4 3.25 2.5 2.5 2 2.75 2.7 NA 1 1 2 3 1 1 2 2 0 0 1 0
"53" 4 5 5 5 2 1 4 1 5 5 4 3 4.6 3.25 3.5 4 2 3.25 2.2 NA 3 1 3 2 1 2 1 2 0 0 0 1
"54" 2 2 5 2 4 2 2 1 5 2 3 3 4.6 3.75 2.75 3 3.75 2.75 3.1 NA 5 3 3 1 2 2 1 2 0 1 0 0
"55" 5 2 2 3 3 2 5 5 2 4 3 4 5.4 2 2.25 3.75 3.75 3.75 2.6 NA 3 2 1 1 1 1 1 3 0 0 0 1
"56" 5 1 2 2 4 3 3 4 5 1 5 2 4.4 3 4.25 3 3.5 2.75 2.5 NA 1 3 1 3 2 2 3 1 1 0 0 0
"57" 1 4 3 2 2 2 1 1 5 3 1 4 4 3 2.75 1.75 3.25 3.75 2.3 NA 1 3 1 2 1 1 1 4 0 0 0 1
"58" 3 5 2 3 1 1 4 1 2 5 4 5 4 3 2.75 4 3.75 3.25 2.9 NA 3 4 1 1 1 2 3 1 0 1 0 0
"59" 4 2 5 2 1 1 1 2 3 3 2 2 4.6 3 4.25 2 2.75 4 2.9 NA 2 2 2 2 1 1 3 2 0 0 0 1
"60" 5 3 5 1 4 5 4 5 1 5 5 1 3.8 2.75 3.5 2.75 4.25 3 2.7 NA 2 3 1 2 2 1 3 1 0 1 0 0
"61" 2 1 2 3 4 3 2 1 5 2 5 3 4.8 4 4 4 2.5 3.25 3 NA 5 2 3 1 2 1 2 3 0 0 1 0
"62" 5 4 4 1 1 3 1 1 1 4 4 3 4 4 2.75 2.25 4.5 2.75 2.3 NA 4 1 2 1 1 1 1 4 0 0 0 1
"63" 1 4 1 4 5 1 5 5 3 5 4 1 3.2 3.5 2.25 2 3.75 2 2.1 NA 2 1 2 2 1 1 1 4 1 0 0 0
"64" 1 2 2 1 3 4 4 1 3 5 2 2 4.4 3.25 2.75 3 3.5 2 2.8 NA 4 2 1 2 1 1 3 1 0 1 0 0
"65" 5 3 1 2 5 2 3 1 3 4 5 3 5.8 3 3.5 3.75 2.75 1.25 2.3 NA 4 1 3 2 1 2 3 4 0 0 1 0
"66" 2 1 4 1 2 5 1 2 2 3 2 2 3.6 2.25 3.5 2.75 4 1.25 3 NA 3 3 2 1 1 1 3 2 0 0 0 1
"67" 2 4 5 5 3 5 2 3 2 2 3 1 5.4 3.25 2.75 3 3.25 3.25 2.6 NA 2 2 3 1 2 2 2 4 0 0 0 1
"68" 1 4 1 5 2 3 3 2 1 4 2 1 2.2 2.75 2.25 2.5 3 3.25 2.8 NA 4 4 2 2 2 1 2 2 1 0 0 0
"69" 4 4 1 2 1 3 3 3 2 3 3 5 4 3.25 4.25 3.75 3.5 2.5 3 NA 2 3 2 1 2 2 1 2 0 1 0 0
"70" 3 5 2 4 4 5 1 2 2 2 2 2 4.2 2.5 3.5 2.5 2.75 3.75 2.5 NA 3 4 3 3 1 1 1 4 0 0 0 1
"71" 5 3 4 3 2 3 2 4 4 1 1 5 4.2 2 3 2.5 3.75 3 1.9 NA 4 4 2 2 1 2 3 1 0 0 1 0
"72" 1 3 5 3 3 2 1 3 1 3 4 1 5.6 4.75 2 2.25 2.25 2.25 2.7 NA 4 2 1 2 1 1 3 3 0 0 0 1
"73" 5 5 2 1 2 3 3 2 5 2 3 5 3.4 3.5 2.5 3.5 3.25 3 2.6 NA 5 2 3 3 2 2 2 2 0 0 1 0
"74" 4 5 4 2 1 3 1 2 4 4 5 1 5.2 3 3 5 2 2.75 2.7 NA 5 2 2 3 2 1 2 3 0 0 0 1
"75" 4 5 3 5 3 1 4 2 4 3 1 1 4.4 2.5 3.25 2.5 3.5 2.75 2.2 NA 3 1 1 2 2 1 2 2 1 0 0 0
"76" 2 3 1 4 1 4 5 1 3 4 3 5 4.2 3.25 2 3 4 3.25 2.6 NA 4 1 2 1 1 1 1 1 0 0 1 0
"77" 5 4 5 2 5 4 3 2 2 3 5 3 4.6 3.5 2.5 2.5 2.5 3.5 2.1 NA 5 4 3 1 2 2 2 3 0 0 1 0
"78" 5 2 1 4 1 4 3 3 5 3 5 5 3.2 3.75 3.5 3.5 3.5 4.25 2.3 NA 2 3 3 1 1 1 1 2 0 0 0 1
"79" 2 4 2 4 1 1 5 4 5 3 3 4 4.4 2.5 3.5 2 1.75 3.5 2.5 NA 2 3 1 1 1 1 2 4 1 0 0 0
"80" 2 4 5 3 4 2 4 4 3 4 3 2 4.4 2.25 3.5 2.5 3 3.5 2.6 NA 2 4 2 3 1 2 1 2 1 0 0 0
"81" 5 5 1 3 3 3 5 1 2 4 4 4 3.4 4.5 2.5 2.25 4 4 3.2 NA 4 4 1 3 2 1 2 4 1 0 0 0
"82" 5 5 5 5 4 5 5 4 4 1 4 5 4 3.5 2.25 3.25 3.5 3 2.5 NA 1 4 2 2 1 1 2 2 0 0 1 0
"83" 4 4 2 2 1 3 3 3 3 3 1 3 3.6 3.5 2.5 2.75 2.5 3 2.8 NA 1 2 3 2 1 2 3 2 0 0 0 1
"84" 5 5 5 2 2 2 2 4 1 4 3 5 5.8 3.5 4.25 3.75 2.75 3.25 2.5 NA 2 1 3 3 2 1 2 1 0 0 1 0
"85" 1 2 1 5 1 2 1 1 2 1 3 1 4 2.75 4.5 2 4 3.5 2.8 NA 4 4 2 2 2 1 2 3 0 0 1 0
"86" 4 1 5 2 5 5 5 4 5 5 5 1 3.6 2.5 3.25 2.5 1.75 3.5 2.3 NA 3 3 3 2 2 2 1 3 0 0 1 0
"87" 3 4 1 5 4 3 4 5 3 1 5 2 3 1.75 3 2.75 3.5 2.5 2.1 NA 3 1 2 2 1 1 2 3 1 0 0 0
"88" 3 5 4 3 5 3 4 4 4 2 3 1 3.6 1.5 3.5 3.25 3.25 3.75 1.8 NA 1 3 3 2 1 2 1 2 0 0 0 1
"89" 4 1 5 1 2 4 1 1 1 3 5 5 3.4 2 4 1.5 3.75 2.75 2.6 NA 4 1 2 2 1 1 1 1 0 0 1 0
"90" 1 4 3 1 2 1 1 1 5 1 4 3 4.4 2.75 3.5 2.75 2.25 2.25 2.3 NA 3 2 2 2 2 2 3 3 0 0 0 1
"91" 4 4 2 3 3 1 3 5 1 4 1 1 3.6 4.25 3 3.25 3.5 1.75 2.7 NA 2 2 2 3 2 2 1 2 1 0 0 0
"92" 1 5 5 5 5 3 4 3 3 2 2 1 4.4 2.5 3.25 2.75 1.75 3 3.1 NA 3 1 1 3 2 1 2 2 0 0 1 0
"93" 1 3 2 4 3 4 2 5 4 4 1 5 6.4 2.25 3.5 3.5 2.75 3.5 2.6 NA 1 2 3 3 1 1 1 1 1 0 0 0
"94" 2 1 4 5 2 1 5 3 1 2 4 3 4.2 3 2.25 2.75 2.75 4 2.8 NA 2 2 1 2 1 2 3 4 0 0 1 0
"95" 4 3 1 2 2 3 1 1 1 4 5 3 2.6 2.5 2.5 3.25 3 2.75 2.5 NA 4 4 2 1 1 2 3 4 0 0 0 1
"96" 5 1 2 4 5 1 4 2 4 4 4 3 1.8 4.25 3 2.5 3 2 3.1 NA 1 4 3 1 2 2 2 4 0 0 0 1
"97" 1 2 1 1 4 4 4 5 1 2 1 5 6 2.75 2.75 3 2.75 2.75 2.2 NA 4 4 1 3 2 2 1 4 0 1 0 0
